State,District,Confirmed,Recovered,Deceased,Zone,Age Bracket,Transmission Type,Population Density,Transmission rate,Deceased Rate,Predictions
Jammu and Kashmir,Srinagar,25422,24391,450,Red Zone,Children or adolescent,Local,200,High,1,1
Karnataka,Bagalkote,13695,13520,136,Orange Zone,Children or adolescent,Local,197,High,0,1
Karnataka,Ballari,38882,38138,597,Orange Zone,Children or adolescent,Local,197,High,2,1
Karnataka,Belagavi,26289,25752,342,Orange Zone,Children or adolescent,Local,197,High,1,1
Karnataka,Bengaluru Rural,18300,17893,152,Red Zone,Children or adolescent,Local,197,High,0,1
Karnataka,Bengaluru Urban,389193,377906,4322,Red Zone,Children or adolescent,Local,197,Very High,17,1
Karnataka,Bidar,7269,7051,171,Orange Zone,Children or adolescent,Local,197,Normal,0,0
Karnataka,Chamarajanagara,6801,6596,119,Green Zone,Children or adolescent,Local,197,Normal,0,0
Karnataka,Chikkaballapura,13029,12712,117,Orange Zone,Children or adolescent,Local,197,High,0,1
Karnataka,Chikkamagaluru,13703,13439,139,Green Zone,Children or adolescent,Local,197,High,0,0
Karnataka,Chitradurga,14314,14072,68,Orange Zone,Children or adolescent,Local,197,High,0,1
Karnataka,Dakshina Kannada,32948,31914,734,Orange Zone,Children or adolescent,Local,197,High,2,1
Karnataka,Davanagere,22041,21689,264,Orange Zone,Children or adolescent,Local,197,High,1,1
Karnataka,Dharwad,21882,21183,609,Orange Zone,Children or adolescent,Local,197,High,2,1
Karnataka,Gadag,10920,10753,141,Orange Zone,Children or adolescent,Local,197,Normal,0,0
Karnataka,Hassan,28033,27434,393,Green Zone,Children or adolescent,Local,197,High,1,0
Karnataka,Haveri,10965,10757,190,Green Zone,Children or adolescent,Local,197,Normal,0,0
Karnataka,Kalaburagi,21111,20612,323,Orange Zone,Children or adolescent,Local,197,High,1,1
Karnataka,Kodagu,5761,5587,71,Green Zone,Children or adolescent,Local,197,Normal,0,0
Karnataka,Kolar,9731,9428,176,Green Zone,Children or adolescent,Local,197,Normal,0,0
Karnataka,Koppal,13884,13568,279,Green Zone,Children or adolescent,Local,197,High,1,0
Karnataka,Mandya,19460,19162,147,Orange Zone,Children or adolescent,Local,197,High,0,1
Karnataka,Mysuru,52498,51094,1015,Red Zone,Children or adolescent,Local,197,Very High,4,1
Karnataka,Raichur,14165,13959,158,Green Zone,Children or adolescent,Local,197,High,0,0
Karnataka,Ramanagara,7381,7282,77,Green Zone,Children or adolescent,Local,197,Normal,0,0
Karnataka,Shivamogga,22068,21511,348,Green Zone,Children or adolescent,Local,197,High,1,0
Karnataka,Tumakuru,24587,23887,378,Orange Zone,Children or adolescent,Local,197,High,1,1
Karnataka,Udupi,23085,22815,188,Green Zone,Children or adolescent,Local,197,High,0,0
Karnataka,Uttara Kannada,14272,13993,176,Orange Zone,Children or adolescent,Local,197,High,0,1
Karnataka,Vijayapura,14233,13932,205,Orange Zone,Children or adolescent,Local,197,High,0,1
Karnataka,Yadgir,10592,10504,61,Green Zone,Children or adolescent,Local,197,Normal,0,0
Kerala,Alappuzha,58075,53958,243,Orange Zone,Senior Citizens,Local,415,Very High,0,2
Kerala,Ernakulam,84853,75742,318,Green Zone,Senior Citizens,Local,415,Very High,1,2
