State,District,Confirmed,Recovered,Deceased,Zone,Age Bracket,Transmission Type,Population Density,Predictions
Meghalaya,East Khasi Hills,8264,8016,113,1,0,1,182,5
Meghalaya,South Garo Hills,197,196,1,2,2,1,182,1
Meghalaya,West Garo Hills,1709,1679,16,2,2,1,182,1
Madhya Pradesh,Bhopal,39601,37022,581,0,2,1,188,0
Madhya Pradesh,Chhindwara,2683,2581,42,1,2,1,188,4
Madhya Pradesh,Gwalior,15963,15464,204,0,2,1,188,0
Madhya Pradesh,Indore,55320,51605,880,1,2,1,188,4
Madhya Pradesh,Jabalpur,15562,14885,242,0,2,0,188,3
Madhya Pradesh,Ujjain,4682,4349,102,0,0,1,188,2
Mizoram,Aizawl,2758,2684,7,2,2,1,188,1
